tweetCount,latitude,longitude,text
1430,53.1423672,-7.692053599999999,"RT @caulmick: #SiteServ Commission  pays one lawyer ?346,000 with ?55k on PR

Cost &amp; duration of inquiry was criticised by Mike Aynsley, fo?"
1062,51.896891700000005,-8.486315699999999,"RT @LawlorCaitriona: Accenture ?17.2 million, Ernst &amp; Young ?4.6 million,  A&amp;L Goodbody ?2.9 million, KPMG ?2.2 million, McCann Fitzgerald?"
903,52.649290799999996,-8.403463499999999,"RT @caulmick: Are there any consequences for the connected..

Forget #Siteserv Inquiry? Yet, blow millions arresting and charging people fr?"
741,53.1423672,-7.692053599999999,RT @LegalEagleStar: He did indeed Breda. Abolition of #IrishWater was an election promise of @fiannafailparty and Michael. https://t.co/hE2?
725,53.34980529999999,-6.2603097000000005,RT @babsbear: #Irishwater rammed down r neck by #RTÉ with t fraud they fix leaks . They USE county council staff who do t work. It?s a bloo?
571,54.9966124,-7.308574799999999,"RT @caulmick: Not content with #Irishwater fiasco..

Around 3m people who have been issued Personal Services Cards #Psc could be entitled t?"
444,53.34980529999999,-6.2603097000000005,"RT @caulmick: Good article by @LaoiseNeylon

Lunacy at the heart of the #Irishwater metering programme - rather than fix the leaks in the m?"
361,53.34980529999999,-6.2603097000000005,"RT @caulmick: #Irishwater can't tell @LatedebateRTE how many people are without water in Dublin tonight, but they can tell us that people a?"
227,53.34980529999999,-6.2603097000000005,"Good article by @LaoiseNeylon

Lunacy at the heart of the #Irishwater metering programme - rather than fix the leak? https://t.co/jG5PIPgQSc"
180,53.199717099999994,-8.131427,"@IWCare In hindsight:That testing doesn?t seem to have been very effective , #Irishwater #WaterCrisis , time to hav? https://t.co/J75icw2h7c"
160,53.34980529999999,-6.2603097000000005,RT @caulmick: A 30 minute advertorial on @PatKennyNT for #Irishwater - who needs a Spin Unit https://t.co/0E1whFcYcb
154,38.8156551,-80.461754,"@MOReganIT @EDDIEBARRETT @MichealMartinTD hasn?t the balls to pull the plug
1 he hasn?t a team to deal with #Brexit? https://t.co/E0QZqL7yWe"
102,53.1423672,-7.692053599999999,@orla1112 Emma Kennedy on Today with Sean O'Rourke from Wednesday 7 March on RTÉ Radio 1http://rte.ie/r.html?rii=9_? https://t.co/NA6j8lNf4p
97,52.9899429,-9.218327,"RT @LawlorCaitriona: Ha Ha.  No-one can fix leaking pipes, but #IrishWater was, is, and always has been excellent at wasting 40% of our tre?"
76,53.321256700000006,-6.3537336999999985,RT @caulmick: An internal review by Gardai into policing at anti #Irishwater protest in Jobstown finds that it lacked strategic direction b?
